bien.type,bien.superficie_totale,bien.superficie_habitable,bien.nombre_pieces,bien.nombre_chambres,bien.nombre_salles_bain,bien.etat_general,localisation.gouvernorat,localisation.delegation,localisation.ville,localisation.coordonnees.latitude,localisation.coordonnees.longitude,equipements.climatisation,equipements.chauffage,equipements.ascenseur,equipements.garage,equipements.cave,equipements.terrasse,equipements.balcon,equipements.jardin,equipements.piscine,equipements.cuisine_equipee,equipements.double_vitrage,equipements.interphone,equipements.videophone,equipements.alarme,equipements.gardiennage,equipements.dressing,equipements.cuisine_americaine,equipements.concierge,equipements.salle_de_sport,is_vente,label_conflict,prix_per_m2_log,log_superficie,log_nombre_pieces,nb_equipements,jours_depuis_publication,has_coordinates,coastal_premium,size_category
Appartement,130.0,115.0,3.0,2.0,1.0,Neuf,Autres,Autres,Autres,35.8397,10.59545,False,Central,True,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,0,False,2.325399770760217,4.875197323201151,1.3862943611198906,5,179.0,1,0,2
Appartement,200.0,120.0,3.0,2.0,1.0,Bon,Sousse,Autres,El Kantaoui,35.88134,10.59648,False,Central,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,1.9459101490553132,5.303304908059076,1.3862943611198906,0,96.0,1,1,3
Appartement,90.0,80.0,3.0,2.0,1.0,Bon,Autres,Autres,Chatt Meriem,35.87867,10.57276,False,Central,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,2.4941233048929243,4.51085950651685,1.3862943611198906,0,1171.0,1,0,1
Appartement,132.0,70.0,2.0,2.0,1.0,Bon,Autres,Autres,Autres,35.83801,10.63453,False,Au sol,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,0,False,2.3116349285139637,4.890349128221754,1.0986122886681098,5,599.0,1,0,2
Maison,200.0,200.0,3.0,2.0,1.0,Bon,Autres,Autres,Autres,36.8699,10.3445,False,Radiateur,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,2.772588722239781,5.303304908059076,1.3862943611198906,0,1092.0,1,0,3
Appartement,95.0,80.0,3.0,2.0,1.0,Bon,Sousse,Autres,Hammam Sousse,35.88548,10.59599,False,Central,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,2.2429468266743147,4.564348191467836,1.3862943611198906,1,444.0,1,1,1
Maison,497.5369,500.0,6.0,2.0,1.0,Bon,Autres,Autres,Chatt Meriem,35.9648,10.54087,False,"Radiateur, Climatisation",False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,0,False,1.9424893931540679,6.211677608728594,1.9459101490553132,3,346.0,1,0,4
Appartement,115.0,90.0,3.0,2.0,1.0,Bon,Autres,Autres,Sousse,35.8273,10.6339,False,Central,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0,False,2.7589086183357012,4.7535901911063645,1.3862943611198906,3,703.0,1,0,1
Appartement,86.0,80.0,2.0,2.0,1.0,Bon,Autres,Autres,Chatt Meriem,35.87,10.57,False,Climatisation,True,False,False,False,False,False,True,False,True,True,True,False,True,False,False,True,False,0,False,2.3323696543515733,4.465908118654584,1.0986122886681098,7,1049.0,1,0,1
Appartement,90.5,123.0,3.0,2.0,1.0,Neuf,Autres,Autres,Monastir,35.76262,10.81579,False,"Radiateur, Climatisation, Central",True,False,False,False,False,False,True,False,True,False,True,True,True,False,False,True,False,0,False,3.139808700090739,4.516338972281476,1.3862943611198906,7,1048.0,1,0,1
